,Team,GameWeek,Home,MatchID
0,Arsenal,4,Home,46635
1,Tottenham Hotspur,4,Away,46635
2,Burnley,4,Home,46636
3,Liverpool,4,Away,46636
4,Chelsea,4,Home,46637
5,Sheffield United,4,Away,46637
6,Crystal Palace,4,Home,46638
7,Aston Villa,4,Away,46638
8,Everton,4,Home,46639
9,Wolverhampton Wanderers,4,Away,46639
10,Leicester City,4,Home,46640
11,Bournemouth,4,Away,46640
12,Manchester City,4,Home,46641
13,Brighton and Hove Albion,4,Away,46641
14,Newcastle United,4,Home,46642
15,Watford,4,Away,46642
16,Southampton,4,Home,46643
17,Manchester United,4,Away,46643
18,West Ham United,4,Home,46644
19,Norwich City,4,Away,46644
20,Aston Villa,5,Home,46645
21,West Ham United,5,Away,46645
22,Bournemouth,5,Home,46646
23,Everton,5,Away,46646
24,Brighton and Hove Albion,5,Home,46647
25,Burnley,5,Away,46647
26,Liverpool,5,Home,46648
27,Newcastle United,5,Away,46648
28,Manchester United,5,Home,46649
29,Leicester City,5,Away,46649
30,Norwich City,5,Home,46650
31,Manchester City,5,Away,46650
32,Sheffield United,5,Home,46651
33,Southampton,5,Away,46651
34,Tottenham Hotspur,5,Home,46652
35,Crystal Palace,5,Away,46652
36,Watford,5,Home,46653
37,Arsenal,5,Away,46653
38,Wolverhampton Wanderers,5,Home,46654
39,Chelsea,5,Away,46654
40,Arsenal,6,Home,46655
41,Aston Villa,6,Away,46655
42,Burnley,6,Home,46656
43,Norwich City,6,Away,46656
44,Chelsea,6,Home,46657
45,Liverpool,6,Away,46657
46,Crystal Palace,6,Home,46658
47,Wolverhampton Wanderers,6,Away,46658
48,Everton,6,Home,46659
49,Sheffield United,6,Away,46659
50,Leicester City,6,Home,46660
51,Tottenham Hotspur,6,Away,46660
52,Manchester City,6,Home,46661
53,Watford,6,Away,46661
54,Newcastle United,6,Home,46662
55,Brighton and Hove Albion,6,Away,46662
56,Southampton,6,Home,46663
57,Bournemouth,6,Away,46663
58,West Ham United,6,Home,46664
59,Manchester United,6,Away,46664
60,Aston Villa,7,Home,46665
61,Burnley,7,Away,46665
62,Bournemouth,7,Home,46666
63,West Ham United,7,Away,46666
64,Chelsea,7,Home,46667
65,Brighton and Hove Albion,7,Away,46667
66,Crystal Palace,7,Home,46668
67,Norwich City,7,Away,46668
68,Everton,7,Home,46669
69,Manchester City,7,Away,46669
70,Leicester City,7,Home,46670
71,Newcastle United,7,Away,46670
72,Manchester United,7,Home,46671
73,Arsenal,7,Away,46671
74,Sheffield United,7,Home,46672
75,Liverpool,7,Away,46672
76,Tottenham Hotspur,7,Home,46673
77,Southampton,7,Away,46673
78,Wolverhampton Wanderers,7,Home,46674
79,Watford,7,Away,46674
80,Arsenal,8,Home,46675
81,Bournemouth,8,Away,46675
82,Brighton and Hove Albion,8,Home,46676
83,Tottenham Hotspur,8,Away,46676
84,Burnley,8,Home,46677
85,Everton,8,Away,46677
86,Liverpool,8,Home,46678
87,Leicester City,8,Away,46678
88,Manchester City,8,Home,46679
89,Wolverhampton Wanderers,8,Away,46679
90,Newcastle United,8,Home,46680
91,Manchester United,8,Away,46680
92,Norwich City,8,Home,46681
93,Aston Villa,8,Away,46681
94,Southampton,8,Home,46682
95,Chelsea,8,Away,46682
96,Watford,8,Home,46683
97,Sheffield United,8,Away,46683
98,West Ham United,8,Home,46684
99,Crystal Palace,8,Away,46684
100,Aston Villa,9,Home,46685
101,Brighton and Hove Albion,9,Away,46685
102,Bournemouth,9,Home,46686
103,Norwich City,9,Away,46686
104,Chelsea,9,Home,46687
105,Newcastle United,9,Away,46687
106,Crystal Palace,9,Home,46688
107,Manchester City,9,Away,46688
108,Everton,9,Home,46689
109,West Ham United,9,Away,46689
110,Leicester City,9,Home,46690
111,Burnley,9,Away,46690
112,Manchester United,9,Home,46691
113,Liverpool,9,Away,46691
114,Sheffield United,9,Home,46692
115,Arsenal,9,Away,46692
116,Tottenham Hotspur,9,Home,46693
117,Watford,9,Away,46693
118,Wolverhampton Wanderers,9,Home,46694
119,Southampton,9,Away,46694
120,Arsenal,10,Home,46695
121,Crystal Palace,10,Away,46695
122,Brighton and Hove Albion,10,Home,46696
123,Everton,10,Away,46696
124,Burnley,10,Home,46697
125,Chelsea,10,Away,46697
126,Liverpool,10,Home,46698
127,Tottenham Hotspur,10,Away,46698
128,Manchester City,10,Home,46699
129,Aston Villa,10,Away,46699
130,Newcastle United,10,Home,46700
131,Wolverhampton Wanderers,10,Away,46700
132,Norwich City,10,Home,46701
133,Manchester United,10,Away,46701
134,Southampton,10,Home,46702
135,Leicester City,10,Away,46702
136,Watford,10,Home,46703
137,Bournemouth,10,Away,46703
138,West Ham United,10,Home,46704
139,Sheffield United,10,Away,46704
140,Arsenal,11,Home,46705
141,Wolverhampton Wanderers,11,Away,46705
142,Aston Villa,11,Home,46706
143,Liverpool,11,Away,46706
144,Bournemouth,11,Home,46707
145,Manchester United,11,Away,46707
146,Brighton and Hove Albion,11,Home,46708
147,Norwich City,11,Away,46708
148,Crystal Palace,11,Home,46709
149,Leicester City,11,Away,46709
150,Everton,11,Home,46710
151,Tottenham Hotspur,11,Away,46710
152,Manchester City,11,Home,46711
153,Southampton,11,Away,46711
154,Sheffield United,11,Home,46712
155,Burnley,11,Away,46712
156,Watford,11,Home,46713
157,Chelsea,11,Away,46713
158,West Ham United,11,Home,46714
159,Newcastle United,11,Away,46714
160,Burnley,12,Home,46715
161,West Ham United,12,Away,46715
162,Chelsea,12,Home,46716
163,Crystal Palace,12,Away,46716
164,Leicester City,12,Home,46717
165,Arsenal,12,Away,46717
166,Liverpool,12,Home,46718
